date,permno_a,permno_b,action,side,w_prev,w_new
2018-01-05,24205,86996,enter,-1,0.0,0.003178338081660754
2018-01-05,89460,89490,enter,-1,0.0,0.0024917282159536017
2018-01-05,91338,92279,enter,-1,0.0,0.004523998940465896
2018-01-05,15461,17634,enter,1,0.0,0.002532188466391935
2018-01-08,15906,19828,stop,-1,0.0020969922185154768,0.0013410970391828543
2018-01-08,11363,17658,stop,1,0.016211056829327608,0.010367515970673015
2018-01-08,78405,80866,stop,-1,0.0008673528606128615,0.000554701320788951
2018-01-08,15674,83218,stop,-1,0.0006826962322644984,0.00043660719752186897
2018-01-08,14239,14487,stop,-1,0.00101011119735153,0.0006460000776600816
2018-01-08,13407,16093,stop,-1,0.0008750808843103261,0.0005596436518133083
2018-01-08,44601,48506,stop,1,0.0012467425578145243,0.0007973337898659336
2018-01-08,15007,92956,stop,-1,0.005706624994746823,0.0036495785805059967
2018-01-08,15838,49015,stop,-1,0.0009643550536262939,0.00061673748510846
2018-01-08,13756,14941,stop,-1,0.0011709077883800582,0.000748834904720964
2018-01-08,83208,92804,stop,-1,0.001587520121046359,0.001015272500861102
2018-01-08,15838,77528,stop,-1,0.0013132933997808214,0.0008398952912048896
2018-01-08,14515,75346,stop,-1,0.001745025825149759,0.001116002695070891
2018-01-08,92110,93116,stop,-1,0.003235947243145464,0.0020694970770118153
2018-01-08,24205,90925,stop,-1,0.006639140739443339,0.004245953756895171
2018-01-08,15267,90839,stop,-1,0.007785723275849507,0.004979231844994919
2018-01-08,79678,89056,stop,-1,0.0004078017627029387,0.0002608029403760153
2018-01-08,84389,87501,stop,1,0.0036418129693395903,0.002329061856937452
2018-01-08,15041,90050,stop,1,0.0007917369209272462,0.0005063423846269475
2018-01-08,85789,86382,stop,1,0.005676459770519281,0.003630286905248145
2018-01-08,70826,75837,stop,1,0.0016329567892680301,0.0010443307780852085
2018-01-08,92110,92916,stop,-1,0.0020770273682208518,0.0013283288460625166
2018-01-08,91872,92667,stop,-1,0.0016338976673095087,0.001044932501231588
2018-01-08,24205,86996,stop,-1,0.003178338081660754,0.002032654081022233
2018-01-08,89460,89490,resize,-1,0.0024917282159536017,0.011138496273414473
2018-01-08,15461,17634,resize,1,0.002532188466391935,0.011236402372710546
2018-01-08,87717,91002,resize,1,0.006174487522145949,0.011205818646141927
2018-01-08,13189,14108,resize,-1,0.0013725802413231286,0.007273888836974534
2018-01-08,91777,91781,enter,-1,0.0,0.004739709097354401
2018-01-08,10113,81472,enter,1,0.0,0.010177166949277524
2018-01-08,15389,91725,enter,-1,0.0,0.0022101146246695197
