permno_a,permno_b,beta,adf_p,adf_pass_rate,half_life,spread_vol,beta_start,beta_end,beta_nobs,beta_r2,beta_std
11703,14798,1.2857150198294427,1.5574247416432245e-07,0.6666666666666666,5.720064895280362,0.01094246479649296,2016-01-01,2017-12-31,420,0.9601121585121897,0.28867608770669445
70578,91999,0.9048378268785356,1.8255216913363627e-07,0.6666666666666666,7.039027774365208,0.009436707814742607,2016-01-01,2017-12-31,503,0.9104108180928044,0.2795950365903659
10913,47715,0.803688545280517,2.4404268275770305e-07,1.0,7.008293992447435,0.017365255719452865,2016-01-01,2017-12-31,503,0.9514411066651152,0.2559905599845889
14179,84668,0.908195239107177,2.804402686469694e-07,1.0,5.7211996653150194,0.027720982485480845,2016-01-01,2017-12-31,503,0.8160520846724069,0.28296730980957596
75032,77816,0.9891431512714774,3.305921163725634e-07,1.0,5.512797630550807,0.008948876406018687,2016-01-01,2017-12-31,503,0.9869097118883764,0.18546399971860192
17634,92140,1.110926325110521,3.7983227366308457e-07,1.0,2.51793004870369,0.008540883611902554,2016-01-01,2017-12-31,500,0.9881980238884102,0.14755792925000683
13203,91005,0.8671850967039977,2.829310452499357e-07,0.6666666666666666,3.640164466759454,0.021037073892590952,2016-01-01,2017-12-31,503,0.9443445188537012,0.22742908588651162
84389,87501,0.6491779486720984,2.3378203675872946e-07,0.6666666666666666,6.5190725185237,0.012433838931334642,2016-01-01,2017-12-31,503,0.9459256676975248,0.23217176036137724
86312,88319,0.641657896456336,2.5771891753470977e-07,0.6666666666666666,4.9784018135173,0.025384348549609005,2016-01-01,2017-12-31,503,0.8733472551804483,0.2140558832772933
85789,86382,0.9032591585769963,3.202087272645266e-07,0.6666666666666666,5.679387219266733,0.011540223483279634,2016-01-01,2017-12-31,503,0.9776002484369799,0.1346102307791142
65330,90105,1.2032911348977953,3.6360402533707564e-07,1.0,7.650426411874423,0.016428111472600874,2016-01-01,2017-12-31,503,0.8101833343573347,0.27790944510907695
13007,46463,0.6350898303351544,2.7249698642468994e-07,0.6666666666666666,4.581543245347739,0.02064126890835333,2016-01-01,2017-12-31,503,0.9041773450742683,0.2858986021107594
12696,14863,1.2609025019534934,4.4326485235205144e-07,1.0,5.5481808479103965,0.010359463137415106,2016-01-01,2017-12-31,503,0.9782233438062535,0.2764843063569165
15461,17634,0.8093303527913115,5.476886277950146e-07,1.0,3.234497019891531,0.008067980597816963,2016-01-01,2017-12-31,500,0.9794574785903986,0.15167307896267676
12015,93415,0.9292254517354152,4.618496397267202e-07,0.6666666666666666,5.56830710790351,0.013802805429814937,2016-01-01,2017-12-31,503,0.9227355193592734,0.136489111399549
11703,91811,1.2531608793797788,4.0261432889626436e-07,0.6666666666666666,5.6349370266587435,0.011804191117474721,2016-01-01,2017-12-31,420,0.9552452557185962,0.2941737722456341
70826,75837,0.9955500917550849,5.116789909691692e-07,0.6666666666666666,3.36936392553142,0.008432635705931838,2016-01-01,2017-12-31,503,0.8491076409628184,0.2902740357083951
23536,86339,0.6830212498110647,5.355924075324542e-07,1.0,6.782412120800209,0.009414891723163768,2016-01-01,2017-12-31,503,0.8621295025991197,0.16862712036035307
15674,83218,1.1864965075028064,5.757193995501696e-07,1.0,5.5637722113650225,0.009208841710303395,2016-01-01,2017-12-31,503,0.9564897656956849,0.25685354915920616
12089,85738,0.7418743732885482,4.262667196879584e-07,0.6666666666666666,9.314343235957274,0.020384910216632916,2016-01-01,2017-12-31,503,0.961099323004775,0.2797412566749473
12916,77660,0.6988156147391809,4.475186847145958e-07,0.6666666666666666,5.402182580685911,0.022867035777576594,2016-01-01,2017-12-31,503,0.8780183639492789,0.22689186039920511
91456,92476,0.7540207923246693,6.236692010852258e-07,1.0,6.461741329401535,0.01237510022193125,2016-01-01,2017-12-31,503,0.9530613722679006,0.22347377396068896
12493,77889,1.2177727435465353,5.108591266952128e-07,0.6666666666666666,5.756768319241571,0.02503035271444524,2016-01-01,2017-12-31,503,0.9536356616385003,0.2873794300004037
13685,15928,0.6416787646252812,5.161415724815187e-07,0.6666666666666666,4.897781203475602,0.010020080097345573,2016-01-01,2017-12-31,470,0.9235961659263737,0.10291334574612528
14030,16039,1.074153719819682,8.402848076332658e-07,1.0,4.009683996904298,0.01798321316460017,2016-01-01,2017-12-31,440,0.8852274390600811,0.2313246795140663
83208,92804,0.6711180324221535,5.571818213469202e-07,0.6666666666666666,3.9855803006132904,0.009137509676574822,2016-01-01,2017-12-31,503,0.9623050122270751,0.13767822196710175
89643,89938,0.914169652949661,8.452204065748121e-07,1.0,4.790862153675855,0.020070025904507186,2016-01-01,2017-12-31,503,0.9617886155348169,0.28000787813486605
47002,86004,0.9601648196408964,8.627731104126337e-07,1.0,5.787457244448396,0.013928384252024847,2016-01-01,2017-12-31,503,0.9313185542059298,0.21439155691603837
79313,89202,0.6707510216444303,6.724059165523221e-07,0.6666666666666666,3.061547758642047,0.01953170809074357,2016-01-01,2017-12-31,474,0.9620390354808311,0.15694248971993827
12189,14889,0.773073994222682,5.860856914020084e-07,0.6666666666666666,6.972403398119218,0.016910191272412937,2016-01-01,2017-12-31,503,0.9526600266957556,0.27283097665097367
86106,89541,0.9290138633842717,9.990731570098265e-07,1.0,4.36921537431296,0.008890196615835877,2016-01-01,2017-12-31,503,0.993444217476149,0.06533517923720414
14329,91456,0.6622935718097566,5.769450538995152e-07,0.6666666666666666,6.456730132788638,0.012941792564120674,2016-01-01,2017-12-31,503,0.8947971184877493,0.2524087659601124
12872,76804,0.6831403676824962,8.431661634936567e-07,1.0,7.503894518872903,0.021136968265284658,2016-01-01,2017-12-31,503,0.9203297556500466,0.19379633991594472
11990,13949,0.7713673301715913,8.446437274992263e-07,1.0,7.238103778225999,0.01648412133465527,2016-01-01,2017-12-31,503,0.9360232110912414,0.29438757640788876
12376,91510,0.7026810633621583,6.615258588180921e-07,0.6666666666666666,9.084449537624234,0.022729787807687023,2016-01-01,2017-12-31,503,0.8771248630383668,0.1496078566714844
