gvkey,iid,gvkeyx,from,thru
015613,01W,150192,1992-09-30,
015613,01W,150194,1985-12-31,2025-04-08
015614,01W,150069,1985-12-31,2008-07-27
015614,01W,150192,1992-09-30,1998-09-29
015614,01W,150194,1985-12-31,2008-07-25
015615,01W,150194,1985-12-31,1998-12-14
015616,01W,150069,1985-12-31,2008-01-30
015616,01W,150192,1992-09-30,2008-01-22
015616,01W,150194,1985-12-31,2008-01-22
015617,04W,150262,1994-02-01,
015617,04W,150940,2000-12-31,
015617,04W,150377,1995-12-31,
015617,04W,150378,2000-12-31,
015617,04W,150928,2006-10-27,
015617,04W,150376,2000-01-01,
015617,04W,150152,2016-03-21,2021-03-21
015618,01W,150944,2003-12-31,
015624,02W,150069,1985-12-31,2000-03-26
015624,02W,150192,1992-09-30,2001-03-26
015624,02W,150194,1985-12-31,2001-03-26
015625,01W,150069,1985-12-31,
015625,01W,150192,1992-09-30,
015625,01W,150194,1985-12-31,2025-04-08
015625,01W,160136,1994-01-01,
015626,01W,150069,1985-12-31,2000-03-28
015626,01W,150194,1985-12-31,2000-03-27
015627,01W,150069,1985-12-31,2001-03-26
015627,01W,150192,1992-09-30,2001-03-26
015627,01W,150194,1985-12-31,2001-03-26
015630,02W,150340,1989-10-31,2000-04-17
015630,02W,150376,2000-01-01,2000-04-19
015631,01W,150376,2000-01-01,2017-12-17
015632,01W,150033,1989-11-03,2001-04-05
015632,01W,150033,2002-01-31,
015632,02W,150033,2009-03-23,2009-07-03
015634,02W,150377,2000-03-09,2009-04-14
015634,02W,150376,2000-01-01,
015635,01W,150152,1990-12-31,1998-06-25
015638,01W,150376,2000-01-01,
015640,01W,150376,2000-01-01,2006-03-20
015640,01W,151227,1991-09-30,2006-03-14
015643,01W,160134,1989-07-31,1990-07-31
015644,01W,150376,2000-01-01,
015645,01W,150376,2000-01-01,
015645,01W,150377,2010-09-20,
015647,01W,150267,2000-10-31,
015647,01W,150376,2000-01-01,2015-06-19
015647,01W,150376,2016-12-19,
015650,01W,150069,2000-04-24,2001-09-24
015650,01W,150192,1992-09-30,2001-09-25
015650,01W,150194,1985-12-31,2001-09-25
015651,01W,150069,2000-04-24,2011-03-28
015651,01W,150192,1998-09-30,2011-03-28
015651,01W,150194,1985-12-31,2011-03-28
015654,01W,150376,2000-01-01,
015654,01W,151227,1991-09-30,
015656,01W,150194,1985-12-31,1990-03-31
015658,01W,150069,2000-04-24,2001-03-26
015658,01W,150192,1995-10-02,2001-03-26
015658,01W,150194,1985-12-31,2001-03-26
015659,01W,150069,1985-12-31,2002-03-26
015659,01W,150192,1992-09-30,2002-03-26
015659,01W,150194,1985-12-31,2002-03-25
015659,02W,150069,2002-04-02,
015659,02W,150192,2002-04-02,
015659,02W,150194,2002-04-02,2025-04-08
015660,01W,150069,2000-09-22,2001-03-26
015660,01W,150194,1985-12-31,2001-03-26
015664,01W,150377,1997-09-22,1999-09-17
015664,01W,150376,2000-01-01,2021-05-31
015668,01W,150192,1992-09-30,
015668,01W,150069,2022-04-04,
015668,01W,150194,1985-12-31,2025-04-08
015669,01W,150069,2000-04-24,2011-08-28
015669,01W,150192,2005-09-21,2011-08-28
015669,01W,150194,1985-12-31,2011-08-28
015670,01W,150194,1985-12-31,1998-03-25
015671,01W,150376,2000-01-01,
015671,01W,151227,1991-09-30,
015674,01W,150070,1993-12-31,1998-09-07
015674,02W,150070,1988-06-30,1995-07-03
015674,03W,150070,1993-01-04,1993-06-29
015676,01W,150007,1993-07-30,2004-11-01
015677,01W,150007,1993-07-30,
015677,01W,150940,2000-12-31,
015677,01W,150356,1985-12-31,
015677,01W,150095,1996-09-21,
015677,01W,150377,1999-09-20,2003-09-19
015677,01W,150378,2000-12-31,
015677,01W,150376,2000-01-01,
015677,02W,150007,1993-07-30,1999-11-30
015678,02W,150280,2001-11-28,
015679,01W,150067,2001-06-18,
015681,01W,150007,2001-06-18,2010-07-07
015681,01W,150356,2000-01-19,2001-07-27
015681,01W,150376,2000-01-01,2010-07-30
015681,03W,150007,1995-02-14,1998-02-03
015681,03W,150356,1985-12-31,1998-02-03
015685,01W,150069,2000-04-24,2000-09-21
015685,01W,150192,1992-09-30,2000-09-21
015685,01W,150194,1985-12-31,2000-09-21
015686,01W,160134,1988-04-29,2000-01-21
015686,01W,150376,2000-01-01,2000-01-24
015686,02W,160134,1990-08-01,1992-07-31
015686,02W,160134,1993-02-01,1993-07-31
015686,02W,160134,1994-02-01,1994-07-19
015686,03W,160134,1988-04-29,1989-01-31
015686,03W,160134,1989-07-31,1992-07-31
015686,03W,160134,1993-02-01,1993-07-31
015687,01W,160134,1988-04-29,1990-01-31
015687,01W,160134,1990-08-01,1991-01-31
015687,01W,160134,1992-02-01,1992-07-31
015687,02W,160134,1988-04-29,1996-01-04
015688,01W,150033,1990-04-20,
015690,01W,150343,1995-11-16,2001-02-02
015690,01W,150151,1992-11-30,1993-11-29
015690,01W,150151,1998-12-30,2001-02-02
015690,01W,150376,2000-01-01,2001-02-01
015690,03W,150343,1995-11-16,1998-07-17
015690,03W,150151,1993-11-30,1998-07-17
015692,01W,150021,1993-12-08,2000-01-18
015694,01W,150007,1993-07-30,1996-02-26
015696,01W,150376,2000-09-18,2000-12-15
015696,01W,150376,2001-09-24,2002-03-17
015696,01W,150376,2010-12-20,2020-09-20
015697,01W,150051,1985-12-31,
015697,02W,150077,1997-02-21,1997-07-30
015698,01W,150069,1985-12-31,2000-09-29
