gvkey,iid,gvkeyx,from,thru
233156,01W,150021,2005-12-19,2006-12-15
233156,01W,150021,2011-03-21,2019-09-22
233156,01W,150021,2020-09-21,2021-09-14
233157,01W,150021,2010-09-20,2013-08-09
233158,01W,150007,2001-06-18,
233176,01W,150021,2019-06-24,2020-09-20
233176,01W,150021,2021-09-20,2021-11-30
233176,01W,150021,2011-03-21,2018-01-29
233177,01W,150021,2011-03-21,2012-09-14
233196,01W,150007,2001-06-18,2008-04-30
233197,01W,150021,2010-09-20,2022-09-18
233217,01W,150021,2011-03-21,2020-08-31
233218,01W,150007,2001-06-18,2011-06-17
233219,01W,150007,2001-06-18,2014-04-30
233221,01W,150021,2011-03-21,2015-08-03
233237,01W,150007,2001-06-18,2006-10-02
233238,01W,150007,2001-06-18,2012-11-30
233240,01W,150021,2003-11-24,2006-11-29
233240,01W,150171,2004-05-13,2005-12-16
233242,01W,150021,2001-08-31,2011-03-18
233242,01W,150021,2012-06-22,2012-07-12
233246,01W,150021,2010-09-20,2018-08-07
233247,01W,150021,2001-05-31,2004-04-26
233247,01W,150171,2007-06-18,2011-03-18
233247,01W,150171,2014-01-30,2014-06-20
233247,01W,150021,2005-01-03,2023-04-27
233248,01W,150007,2001-06-18,2006-08-07
233257,01W,150378,2000-12-31,2003-06-22
233257,01W,150376,2000-01-01,2003-06-22
233260,01W,150355,2002-01-31,2002-06-17
233261,01W,115114,1999-12-03,2008-04-01
233263,01W,150007,2001-06-18,2007-03-07
233263,01W,150356,2003-09-22,2007-03-07
233263,01W,153432,2006-07-24,2007-03-07
233276,01W,115114,1999-12-08,2001-04-02
233279,01W,150072,2001-06-18,2003-12-05
233279,01W,150072,2003-12-22,
233320,01W,150376,2016-03-21,
233320,01W,150378,2016-03-21,
233320,01W,150928,2023-05-02,
233396,01W,150192,2002-09-18,
233396,01W,150194,1999-12-21,2023-11-19
233397,02W,150034,2002-01-21,2015-08-18
233397,02W,150376,2013-12-23,2015-06-30
233397,02W,151232,2014-06-24,2015-06-23
233397,02W,150378,2014-09-22,2015-06-30
233416,01W,150012,1988-12-31,1994-12-06
233418,01W,150021,2001-10-30,2004-12-31
233456,01W,150007,2001-06-18,
233457,01W,150007,2001-06-18,2012-10-08
233458,01W,150021,2001-07-31,
233458,01W,150171,2001-07-31,2015-06-19
233458,01W,150171,2017-03-20,
233458,01W,150376,2020-09-21,2025-03-23
233536,01W,150007,2001-06-18,2012-05-06
233537,01W,150007,2001-06-18,2002-10-18
233556,01W,150007,2001-06-18,
233716,01W,115114,1999-12-17,2022-04-03
233717,01W,115114,1999-12-15,2002-06-04
233717,01W,150077,2002-06-05,2003-05-30
233717,01W,150194,2003-06-02,2025-04-08
233718,01W,150077,1999-12-07,2022-04-03
233719,01W,150077,1999-12-03,2001-02-28
233719,01W,150194,2001-03-01,2012-02-27
233721,01W,115114,1999-12-16,2000-12-04
233721,01W,150194,2000-12-05,2025-04-08
233722,01W,150077,2000-03-01,2002-09-19
233723,01W,115114,1999-12-14,2022-04-03
233724,01W,115114,1999-12-20,2010-03-24
233725,01W,150192,2004-10-04,
233725,01W,150194,2004-10-04,2025-04-08
233727,01W,115114,2013-09-26,2022-04-03
233728,01W,115114,2013-07-16,2015-05-22
233729,01W,115114,1999-12-10,2022-04-03
233730,01W,150077,1999-12-17,2001-02-28
233730,01W,150194,2001-03-01,2013-09-26
233730,01W,160136,2001-03-01,2013-09-25
233776,01W,150355,2003-06-13,2020-09-09
233796,01W,150376,2000-01-01,2000-03-17
233856,01W,150007,2001-06-18,
233976,01W,150151,2000-09-26,2002-01-18
233976,01W,150343,2000-01-18,2001-12-31
233978,01W,150151,2000-01-19,2001-07-23
233978,01W,150343,2000-01-18,2001-12-31
234057,01W,160134,2000-08-17,2002-08-30
234057,01W,150022,2001-01-15,2012-08-08
234079,01W,150376,2015-12-21,2017-09-17
234082,01W,150007,2001-06-18,2005-10-24
234085,01W,150021,2000-01-19,2014-06-17
234085,01W,150378,2005-12-19,2012-12-21
234085,01W,150171,2005-09-01,2014-06-17
234085,01W,150376,2005-12-19,2012-12-21
234085,01W,150021,2014-09-22,2020-01-06
234087,01W,160134,2000-08-17,
234087,01W,150378,2000-12-31,
234087,01W,150376,2000-03-20,
234087,01W,150022,2001-01-15,
234091,01W,150021,2001-05-31,
234091,01W,150171,2001-08-31,2004-04-30
234091,01W,150171,2005-12-19,2009-06-19
234098,01W,160134,2001-02-19,2002-08-30
234098,01W,150022,2001-01-15,2013-11-27
234102,01W,150021,2005-01-03,2011-03-18
234102,01W,150021,2021-09-20,2022-09-18
234102,01W,150021,2014-09-22,2016-09-16
234103,01W,150021,2003-11-24,2012-09-14
234103,01W,150021,2013-09-20,2015-09-18
234104,01W,150021,2001-11-27,2013-06-27
234104,01W,150021,2016-09-19,
234104,01W,150171,2020-12-21,2021-03-21
234105,01W,150072,2001-06-18,2009-06-19
234105,01W,150072,2010-11-30,2014-11-19
234105,01W,150072,2016-04-07,
234117,01W,150034,2001-06-18,
234117,01W,151232,2000-07-03,2004-12-30
234117,01W,151232,2005-07-01,
234117,01W,150378,2003-10-09,
234117,01W,150376,2003-10-09,
234181,01W,150376,2016-06-20,
234204,01W,151227,2006-07-03,2009-01-30
234225,02W,151227,2025-07-01,
234225,02W,150376,2020-06-22,
234226,01W,150376,2024-10-07,
234246,01W,151227,2023-01-03,
234246,01W,150376,2015-12-21,
234276,01W,150061,2011-05-31,2012-03-16
234276,01W,150061,2015-03-23,2018-03-18
234276,01W,150061,2013-03-18,2014-03-21
234276,01W,150061,2023-03-20,
234277,01W,150270,2002-11-01,2004-01-19
234277,01W,150270,2004-03-31,2004-12-17
234277,01W,150270,2007-05-01,2012-01-04
234279,01W,150061,2001-09-03,2009-12-15
234338,01W,115114,2000-01-29,2002-12-17
234338,01W,150077,2002-12-18,2004-08-31
234338,01W,150194,2004-09-01,2025-04-08
234340,01W,150072,2002-01-07,2011-06-08
234340,02W,150072,2017-10-03,
234342,01W,150021,2005-01-03,2019-05-17
234342,01W,150171,2007-12-24,2011-09-16
234356,01W,160134,2000-08-17,2002-08-30
234356,01W,150376,2000-06-19,2000-09-15
234356,01W,150022,2001-01-15,
234376,01W,150355,2002-01-31,
234436,01W,150021,2011-03-21,
234439,01W,150021,2005-01-03,2015-09-18
234498,01W,150061,2001-09-03,2002-07-10
234498,01W,150061,2007-12-31,2020-06-21
234499,01W,150354,2000-08-17,2007-01-01
234500,01W,150007,2001-06-18,2010-01-22
234516,01W,150051,2011-06-07,
234516,01W,150339,2018-03-05,2021-03-11
234576,01W,150007,2001-06-18,
234637,01W,150021,2011-09-19,2012-01-17
234697,01W,150022,2001-01-15,
234698,01W,150072,2001-06-18,2004-07-20
234717,01W,150007,2001-06-18,2013-10-01
234718,01W,150007,2001-06-18,2009-12-18
234757,02W,150021,2000-03-20,2002-04-02
234757,02W,150021,2010-09-20,2023-09-17
234757,02W,150021,2024-09-23,
234758,01W,150021,2011-03-21,2017-02-24
234777,01W,150021,2005-01-03,2005-12-16
234778,01W,150061,2001-09-03,2002-07-10
234778,01W,150061,2003-04-01,2016-02-11
234796,01W,150061,2000-03-01,2003-04-09
234798,01W,150021,2010-09-20,2011-03-18
234798,01W,150021,2011-09-19,
234800,01W,150021,2002-04-03,
234804,01W,150022,2001-01-15,2005-01-04
234808,01W,150021,2001-05-31,
234808,01W,150171,2004-05-03,2007-12-21
234809,01W,150072,2001-06-18,2007-01-29
234811,01W,150061,2004-03-22,2019-03-18
234817,01W,150061,2001-08-13,2002-07-10
234818,01W,150021,2001-11-27,2003-03-07
234818,01W,150021,2011-03-21,2011-11-23
234819,01W,150007,2001-06-18,2009-12-18
234821,01W,150007,2001-06-18,2014-04-30
234821,01W,150356,2003-03-24,2006-09-15
234821,01W,153432,2006-07-24,2006-09-17
234876,01W,150061,2001-08-13,2024-05-09
234918,01W,115114,2000-02-26,2005-04-07
234918,01W,150077,2005-05-10,2006-02-28
234918,01W,150194,2006-04-03,2025-04-08
234919,01W,153256,2019-06-25,2019-06-30
234919,01W,150007,2001-06-18,
234919,01W,153256,2015-04-01,2018-12-25
234919,01W,153256,2019-02-15,2019-03-05
234919,01W,150356,2015-04-01,
234919,01W,153256,2019-09-19,
234919,01W,150376,2019-09-23,
234920,01W,115114,2000-02-26,2016-07-06
234921,01W,150077,2000-02-09,2022-04-03
234936,01W,115114,2000-02-26,2004-03-05
234936,01W,150077,2004-04-09,2005-04-29
234936,01W,150194,2005-05-02,2025-04-08
234958,01W,150077,2000-02-04,2001-02-28
234958,01W,150194,2001-03-01,2015-03-27
234958,01W,150194,2015-04-01,
234959,01W,115114,2000-02-26,2010-08-02
234960,01W,115114,2000-02-26,2004-08-26
234961,01W,150007,2001-06-18,2017-09-04
234976,01W,115114,2001-09-11,2011-02-28
234977,01W,150077,2000-11-29,2002-02-28
234977,01W,150194,2002-03-01,2025-04-08
234978,01W,115114,2001-09-11,2021-05-23
234979,01W,150194,2000-10-31,2025-04-08
234980,01W,150077,2001-06-21,2006-05-31
234980,01W,150194,2006-06-30,2025-04-08
234981,01W,115114,2001-09-11,2009-06-29
234982,01W,150077,2001-01-18,2005-09-13
234983,01W,115114,2001-09-11,2005-04-27
234983,01W,150077,2005-05-31,2006-07-31
234983,01W,150194,2006-08-01,2025-04-08
234984,01W,115114,2000-02-29,2022-04-03
234985,01W,150077,2013-08-30,2022-04-03
234986,01W,115114,2000-02-26,2011-08-02
234987,01W,115114,2001-09-11,2005-02-22
234996,01W,150034,2001-06-18,2010-07-08
234997,01W,115114,2001-09-11,2003-08-01
234999,01W,115114,2001-09-11,2007-10-01
235000,01W,115114,2001-09-11,2007-07-30
235001,01W,115114,2000-02-29,2009-02-26
235018,02W,115114,2001-09-11,2015-11-04
235018,02W,150194,2017-03-23,2023-09-28
235019,01W,115114,2001-09-11,2022-04-03
235020,01W,115114,2001-09-11,2010-07-14
235020,01W,150194,2011-12-30,
235020,01W,160136,2011-11-01,2012-10-16
235021,01W,150077,2000-12-20,2003-11-28
235021,01W,150194,2003-12-01,2013-06-21
235022,01W,115114,2001-09-11,2022-04-03
235023,01W,115114,2001-09-11,2004-12-20
235023,01W,150077,2005-01-24,2006-02-28
235023,01W,150194,2006-04-03,2024-08-08
235024,01W,115114,2000-02-29,2022-04-03
235025,01W,115114,2000-02-29,2005-02-25
235026,01W,115114,2000-02-22,2022-04-03
235027,01W,115114,2001-09-11,2022-04-03
235028,01W,115114,2001-09-11,2020-09-23
235029,01W,115114,2001-09-11,2008-10-15
235036,01W,115114,2001-09-11,2002-03-18
235036,01W,150077,2002-03-19,2003-02-28
235036,01W,150194,2003-03-03,2025-04-08
235136,01W,150280,2001-11-28,
235137,01W,150061,2000-03-08,2001-08-10
235137,01W,150061,2001-09-03,2003-11-07
235156,01W,150354,2002-05-10,2007-08-30
235156,01W,150354,2012-12-24,2014-03-21
235157,01W,150098,2001-05-03,2002-05-07
235159,01W,150034,2001-06-18,2007-04-30
235159,01W,150378,2005-06-20,2006-12-15
235159,01W,150376,2005-06-20,2006-12-15
235163,01W,150007,2001-06-18,2006-01-31
235178,01W,150007,2001-06-18,2007-08-30
235179,01W,150061,2000-03-08,2001-08-10
235179,01W,150061,2001-09-03,2014-11-14
235197,01W,150098,2001-05-03,
235319,01W,150007,2001-06-18,2015-06-14
235320,01W,150007,2001-06-18,2009-03-04
235320,01W,150356,2000-09-28,2007-12-28
235320,01W,153256,2007-08-31,2007-12-28
235396,01W,115114,2001-09-11,2004-10-29
235396,01W,150077,2004-11-30,2005-08-31
235396,01W,150194,2005-09-01,2025-04-08
235397,01W,115114,2001-09-11,2002-08-08
235397,01W,150077,2002-08-09,2003-07-31
235397,01W,150194,2003-08-01,2025-04-08
235398,01W,150077,2000-03-07,2004-11-30
235398,01W,150194,2004-12-01,2025-04-08
235419,01W,150077,2014-08-30,2022-04-03
235421,01W,150077,2000-03-01,2000-12-25
235425,01W,150077,2005-03-29,2006-08-31
235425,01W,150194,2006-09-01,2025-04-08
235426,01W,151312,2003-06-20,2016-12-15
235426,01W,151312,2024-10-22,
235426,02W,150061,2004-09-20,2011-05-30
235458,01W,150376,2000-06-19,2001-01-02
235496,01W,150007,2001-06-18,2006-08-17
235498,01W,150061,2001-09-03,2007-01-29
235498,01W,150061,2016-03-21,2019-03-18
235516,01W,150280,2001-11-28,2018-01-02
235520,01W,150072,2001-06-18,2001-12-06
235538,01W,150007,2001-06-18,2008-08-08
235539,01W,150021,2001-01-15,2001-05-11
235539,01W,150171,2001-01-15,2001-05-11
235541,01W,150007,2001-06-18,
235542,01W,150072,2001-06-18,
235543,01W,150376,2025-06-03,
235545,01W,150007,2001-06-18,2009-12-18
235560,01W,150007,2001-06-18,2003-02-04
235560,01W,150356,2000-09-28,2002-07-24
235562,01W,150267,2001-12-21,2002-12-20
235562,01W,150267,2003-07-01,2003-12-26
235576,01W,150022,2006-10-02,
235636,01W,150021,2001-02-19,2006-07-30
235636,01W,150171,2002-04-03,2006-07-30
235636,02W,150378,2016-06-20,
235636,02W,150021,2014-12-22,
235636,02W,150376,2016-06-20,2018-06-15
235636,02W,150171,2015-03-23,
235639,01W,150021,2001-02-19,2014-05-29
235641,01W,150061,2004-03-22,2005-02-03
235652,01W,150007,2001-06-18,2003-08-18
235656,01W,150021,2000-08-17,2002-12-20
235656,01W,150171,2000-08-17,2002-12-20
235656,03W,150171,2019-06-24,
235656,03W,150171,2014-12-22,2016-03-18
235656,03W,150021,2014-12-22,
235658,01W,150077,2021-04-30,2022-04-03
235660,01W,150021,2001-02-19,2010-09-17
235660,01W,150171,2002-12-23,2007-12-21
235660,01W,150021,2011-03-21,2014-09-19
235661,01W,150007,2001-06-18,2001-08-14
235661,01W,150007,2001-09-20,2001-10-12
235661,02W,150007,2001-06-18,2014-04-30
235676,01W,150007,2001-06-18,
235676,01W,153432,2023-05-10,
235677,02W,150021,2001-08-31,2004-12-31
235718,01W,150077,2000-03-01,2022-04-03
235719,01W,150378,2005-06-20,2006-09-15
235719,01W,150151,2000-09-26,2002-01-18
235719,01W,150151,2004-03-22,2011-04-05
235719,01W,150343,2000-08-17,2011-03-31
235719,01W,150376,2005-06-20,2006-09-15
235719,01W,150376,2010-03-22,2011-03-18
235719,01W,150378,2010-03-22,2011-03-18
235720,01W,150007,2001-06-18,2011-06-17
235722,01W,150376,2000-06-19,2000-09-15
235723,01W,150007,2001-06-18,2012-12-28
235737,01W,150007,2001-06-18,2006-02-28
235748,01W,150007,2001-06-18,2011-04-26
235750,01W,150077,2000-03-01,2022-04-03
235751,01W,150007,2001-06-18,2015-09-24
235754,01W,150077,2000-03-14,2022-03-09
235759,01W,150007,2001-06-18,
235762,01W,150007,2001-06-18,2015-03-24
235764,01W,150007,2001-06-18,2008-12-19
235765,01W,150022,2006-10-02,
235768,01W,150077,2000-03-15,2022-04-03
235769,01W,150077,2000-03-22,2007-09-24
235770,01W,150077,2000-03-15,2003-03-25
235772,01W,150007,2001-06-18,
235776,01W,115114,2001-09-11,2022-04-03
235796,01W,115114,2001-09-11,2014-03-18
235798,01W,150194,2014-09-05,
235798,01W,150069,2018-10-10,
235799,01W,150007,2001-06-18,2007-01-29
235800,01W,150378,2000-12-31,2001-09-21
235800,01W,150378,2003-12-22,2007-09-21
235800,01W,150376,2000-06-19,2001-09-23
235800,01W,150376,2003-12-22,2007-09-21
235801,01W,115114,2001-09-11,2022-04-03
235804,01W,115114,2001-09-11,2022-04-03
235805,01W,115114,2001-09-11,2022-04-03
235806,01W,115114,2001-09-11,2022-04-03
235808,01W,115114,2001-09-11,2022-04-03
235816,01W,150012,2007-12-24,2015-06-02
235816,01W,150012,2025-02-27,
235820,01W,150184,2002-06-18,2003-11-07
235820,01W,150012,2002-06-18,
235821,01W,150012,2002-06-18,2003-11-21
235821,01W,150012,2004-10-13,2005-02-25
235823,01W,150012,2003-11-24,2006-06-11
235825,01W,150012,2003-11-24,2005-06-03
235830,01W,150012,2002-06-18,2007-01-29
235896,01W,150267,2002-10-01,2003-12-05
235896,01W,150376,2000-09-18,2003-12-04
235976,01W,150072,2001-06-18,2004-03-30
235980,01W,150339,2004-05-17,2010-03-07
236023,01W,150355,2002-01-31,2007-04-12
236024,01W,150072,2003-04-25,2011-10-11
236025,01W,150339,2004-05-17,2007-03-11
236116,01W,150007,2001-06-18,2003-06-25
236137,01W,150061,2001-08-13,2012-03-16
236236,02W,151312,2003-06-20,2005-07-12
236256,01W,150072,2001-06-18,2008-12-30
236256,01W,150072,2009-02-27,2009-12-18
236259,01W,115114,2001-09-11,2013-12-02
236259,01W,150069,2016-10-03,
236259,01W,150192,2015-10-01,
236259,01W,150194,2014-09-30,
236260,01W,150007,2001-06-18,2006-07-19
236260,01W,150378,2000-12-31,2006-03-17
236260,01W,150356,2003-03-24,2006-06-08
236260,01W,150376,2000-06-19,2006-03-17
236261,01W,150007,2001-06-18,2010-11-14
236416,01W,150280,2001-11-28,2003-10-03
236436,01W,150007,2001-06-18,2011-06-17
236497,01W,150077,2001-04-12,2002-03-29
236497,01W,150194,2002-04-01,2013-10-30
236497,01W,160136,2002-04-01,2013-10-28
236556,01W,150355,2004-06-12,
236677,01W,150007,2001-06-18,2011-06-17
236736,01W,160134,2000-08-17,2002-08-30
236736,01W,150376,2000-06-19,2000-10-20
236736,01W,150022,2001-01-15,2017-07-03
236737,01W,150021,2011-03-21,2011-07-13
236896,01W,150007,2001-06-18,2009-03-20
236897,01W,150021,2001-07-31,2004-12-31
237016,01W,150007,2001-06-18,2007-11-22
237017,01W,150007,2001-06-18,2013-06-18
237101,01W,150007,2001-06-18,2012-08-30
237105,01W,150021,2001-02-19,2018-05-01
237105,01W,150378,2000-12-31,2001-12-21
237105,01W,150171,2001-01-15,2001-11-26
237105,01W,150171,2005-01-03,2010-09-17
237105,01W,150376,2000-06-19,2001-12-23
237105,01W,150171,2011-03-21,2018-05-01
237118,01W,150021,2002-08-06,2006-12-15
237118,01W,150021,2009-06-22,2016-09-16
237118,01W,150021,2020-09-21,2022-09-18
237156,01W,150007,2001-06-18,2011-08-02
237158,01W,150267,2001-10-31,2004-06-18
237159,01W,150267,2000-10-31,2000-12-30
237160,01W,150021,2001-08-31,2015-07-03
237160,01W,150021,2016-09-19,2023-09-17
237161,01W,150022,2001-01-15,
237265,01W,150376,2020-03-23,2023-12-17
237335,01W,150376,2005-04-19,2006-10-09
237419,01W,150070,2000-12-31,2007-09-21
237419,01W,150376,2000-06-08,
237419,01W,150280,2001-11-28,
237419,01W,150070,2011-09-19,
237576,01W,150007,2001-06-18,2014-04-30
237596,01W,150007,2001-06-18,
237597,01W,150007,2001-06-18,2004-08-11
237599,01W,150007,2001-06-18,2015-11-18
237600,01W,150007,2001-06-18,2002-10-17
237601,01W,150007,2001-06-18,2015-01-23
237605,01W,150007,2001-06-18,
237605,01W,150356,2003-03-24,2004-09-17
237609,01W,150007,2001-06-18,2007-11-01
237616,01W,150007,2001-06-18,2011-01-27
237620,01W,150007,2001-06-18,2008-10-01
237621,01W,150007,2001-06-18,2008-09-01
237656,01W,150007,2001-06-18,
237656,01W,150356,2003-09-22,2005-03-18
237697,01W,150021,2011-03-21,2011-11-23
237722,01W,150021,2005-01-03,2015-09-18
237722,01W,150021,2016-09-19,2019-09-23
237723,01W,150021,2002-12-23,2010-09-17
237723,01W,150021,2011-03-21,2020-12-21
237727,01W,150021,2005-01-03,2005-12-16
237728,01W,150021,2011-03-21,2012-06-11
237756,01W,150072,2001-06-18,2007-02-27
237758,01W,150021,2011-03-21,2022-09-29
237759,01W,150072,2001-06-18,2007-02-27
237759,01W,150072,2007-06-18,
237760,01W,150072,2001-06-18,
237761,01W,150072,2001-06-18,2007-12-28
237777,01W,150072,2001-06-18,
237778,01W,150072,2001-06-18,2018-09-11
237778,01W,150072,2018-12-10,
237779,01W,150067,2001-06-18,2004-03-01
237781,01W,150061,2004-03-22,2007-04-30
237782,01W,150072,2001-06-18,2007-12-28
237782,01W,150072,2008-02-29,2008-12-30
237782,01W,150072,2009-02-27,
237796,01W,150072,2001-06-18,
237798,01W,150061,2008-03-31,2010-03-19
237799,01W,150061,2007-12-31,2011-05-12
237800,01W,150072,2004-02-09,2004-03-30
237800,01W,150072,2009-06-22,
237801,01W,150072,2001-06-18,
237802,01W,150072,2001-06-18,
237804,01W,150072,2001-06-18,
237806,01W,150072,2001-06-18,
237807,01W,150072,2001-06-18,
237808,01W,150072,2001-06-18,2015-10-01
237810,01W,150072,2001-06-18,
237811,01W,150072,2001-06-18,
237812,01W,150061,2001-09-03,2002-07-10
237813,01W,150072,2001-06-18,
237826,01W,150022,2001-01-15,2012-02-13
237896,01W,150007,2001-06-18,2014-03-25
237909,01W,150007,2001-06-18,2010-06-28
237910,01W,150280,2001-11-28,2010-10-21
237911,01W,150022,2006-10-02,
237913,01W,150022,2005-08-23,2007-08-30
237915,01W,150021,2003-03-10,2016-05-20
237915,01W,150171,2014-01-30,2014-12-19
237917,01W,150021,2006-12-18,2024-06-23
237942,01W,150007,2001-06-18,2002-10-21
237948,01W,150021,2001-05-31,2001-11-26
237948,01W,150021,2002-12-23,2004-12-31
237948,01W,150021,2010-09-20,2016-09-16
237948,01W,150021,2017-03-20,2021-03-10
237954,01W,150007,2001-06-18,2004-06-29
237957,01W,150354,2000-08-17,2014-02-21
237978,01W,150280,2001-11-28,
237978,01W,150376,2023-12-18,
238016,01W,115114,2001-09-11,2022-04-03
238017,01W,115114,2001-09-11,2003-05-02
238036,01W,115114,2013-07-16,2016-02-24
238036,01W,150077,2016-02-26,2016-08-30
238036,01W,150194,2017-03-23,
238056,01W,115114,2013-07-29,2022-03-29
238057,01W,150077,2000-07-01,2007-05-27
238058,01W,150077,2001-05-10,2014-05-20
238058,01W,150194,2014-07-31,
238059,01W,115114,2001-09-11,2006-04-05
238076,01W,115114,2001-09-11,2012-09-21
238076,01W,150194,2013-08-20,2025-01-30
238077,01W,115114,2001-09-11,2020-07-02
238078,01W,150077,2014-09-30,2022-04-03
238079,01W,150077,2001-04-05,2005-02-28
238079,01W,150194,2005-03-01,2008-02-26
238080,01W,150077,2013-08-30,2022-04-03
238081,01W,150194,2014-08-29,2015-02-02
238082,01W,150194,2001-08-08,2025-04-08
238084,01W,150077,2003-02-19,2004-02-28
238084,01W,150194,2004-03-01,2025-01-30
238117,01W,150022,2002-01-25,
238136,01W,150007,2001-06-18,
238136,01W,150356,2004-09-20,
238136,01W,153432,2006-07-24,
238136,01W,150376,2018-09-24,
238136,01W,153256,2018-09-25,
238137,01W,150007,2001-06-18,
238137,01W,153432,2020-03-26,2020-05-06
238137,01W,153432,2018-03-19,2019-12-19
238162,01W,150012,2015-06-22,2021-06-08
238167,02W,150012,2002-10-10,2003-11-21
238167,02W,150012,2004-10-13,2005-06-03
238167,02W,150012,2016-01-20,2019-12-22
238169,01W,150021,2011-03-21,2011-06-22
238171,01W,150007,2001-06-18,2014-10-09
238174,01W,150007,2001-06-18,2005-03-14
238180,01W,150021,2012-06-22,2013-01-07
238180,01W,150021,2011-03-21,2011-11-23
238180,01W,150021,2017-06-19,2020-06-14
238183,01W,150007,2001-06-18,2007-08-13
238216,02W,150354,2000-08-17,2001-12-03
238243,01W,153432,2019-06-25,2019-09-17
238243,01W,150007,2001-06-18,
238243,01W,150356,2003-03-24,2003-09-19
238243,01W,150356,2005-03-21,2006-09-15
238243,01W,153432,2006-07-24,2010-09-17
238243,01W,150356,2009-02-09,2010-09-17
238243,01W,153432,2018-12-14,2018-12-16
238243,01W,153432,2019-02-15,2019-03-03
238244,01W,150021,2001-02-19,2017-09-17
238244,01W,150171,2001-01-15,2008-09-19
238244,01W,150376,2000-07-12,2000-09-15
238245,01W,150072,2001-06-18,2007-06-15
238245,01W,150072,2007-08-31,
238246,01W,150021,2001-11-27,2002-08-05
238439,01W,150007,2001-06-18,
238440,01W,150007,2001-06-18,2017-07-03
238441,01W,150007,2001-06-18,2015-04-01
238442,01W,150007,2001-06-18,
238442,01W,150356,2007-03-05,
238442,01W,153432,2007-03-05,
238442,01W,150376,2018-09-24,
238442,01W,153256,2019-02-25,
238445,01W,150021,2011-03-21,2012-09-11
238446,01W,150007,2001-06-18,
238448,01W,150021,2011-04-05,2015-09-18
238448,01W,150021,2017-03-20,2020-09-20
238449,01W,150021,2011-03-21,
238450,01W,150021,2018-06-18,2023-09-17
238451,01W,150007,2001-06-18,
238451,01W,153432,2023-09-18,2024-12-19
238452,01W,150021,2002-12-23,2004-12-31
238452,01W,150021,2011-03-21,2022-06-19
238454,01W,150007,2001-06-18,2015-12-18
238455,01W,150007,2001-06-18,2009-11-06
238455,01W,150356,2003-03-24,2007-12-28
238455,01W,153432,2006-07-24,2009-11-06
238455,02W,150007,2009-12-21,
238456,01W,150007,2001-06-18,
238456,01W,150376,2018-03-19,2020-09-28
238456,01W,153256,2019-06-25,2020-12-17
238457,01W,150021,2001-02-19,2002-04-02
238457,01W,150171,2001-01-15,2001-11-26
238458,01W,150007,2001-06-18,2014-08-27
238459,01W,150007,2001-06-18,2012-12-03
238460,01W,150007,2001-06-18,2008-11-13
238461,01W,150007,2001-06-18,
238462,01W,150007,2001-06-18,2017-08-29
238462,01W,150356,2003-03-24,2015-03-20
238462,01W,153432,2006-07-24,2017-08-29
238463,01W,150007,2001-06-18,2005-10-13
238464,01W,150007,2001-06-18,2007-07-20
238468,01W,150007,2001-06-18,2013-09-12
238476,01W,150021,2011-03-21,2020-08-31
238477,01W,150007,2001-06-18,2013-11-22
238478,01W,150021,2011-03-21,2017-09-17
238479,01W,150007,2001-06-18,
238481,01W,150007,2001-09-20,2001-10-12
238481,01W,150356,2005-09-19,2008-06-04
238481,01W,153432,2006-07-24,2008-08-04
238481,02W,150378,2007-09-24,2008-06-20
238481,02W,150262,2008-03-26,2008-06-27
238481,02W,150376,2007-09-24,2008-06-20
238484,01W,150356,2003-03-24,2005-06-17
238486,01W,150007,2001-06-18,2006-12-04
238488,01W,150007,2001-06-18,
238489,01W,150007,2001-06-18,2009-02-17
238516,01W,150376,2006-09-18,2010-03-26
238516,02W,150376,2010-03-29,2010-06-18
238516,02W,150376,2013-06-24,2018-09-23
238521,01W,150376,2000-09-18,2001-02-01
238596,01W,150007,2001-06-18,2012-10-23
238596,01W,150356,2000-12-18,2002-09-20
238599,01W,150021,2001-02-19,2004-04-30
238599,01W,150378,2000-12-31,2004-04-30
238599,01W,150171,2001-01-15,2004-04-30
238599,01W,150376,2000-09-18,2004-04-30
238616,01W,150021,2001-02-19,
238616,01W,150093,2001-08-08,
238616,01W,150378,2000-12-31,
238616,01W,150171,2001-02-19,
238616,01W,150928,2006-10-27,
238616,01W,150376,2000-09-18,
238619,01W,150021,2011-03-21,2013-02-21
238624,01W,150021,2002-04-08,2004-12-31
238637,01W,150021,2001-05-31,
238637,01W,150171,2003-11-24,2008-12-19
238637,01W,150171,2018-03-19,
238679,01W,150021,2002-04-03,2005-06-06
238681,01W,150021,2005-01-03,2015-10-29
238682,01W,150021,2010-09-20,2018-07-16
238696,01W,150021,2011-03-21,2023-03-28
238697,01W,150021,2008-09-22,2010-09-17
238697,01W,150021,2011-03-21,
238698,01W,150021,2002-04-03,2004-04-26
238698,01W,150021,2010-09-20,
238701,01W,150021,2005-01-03,2006-03-17
238703,01W,150021,2002-04-03,2010-09-17
238703,01W,150171,2004-03-02,2005-12-16
238704,01W,150021,2011-03-21,2012-09-14
238705,01W,150021,2008-09-22,2022-11-06
238707,01W,150021,2011-03-21,2011-11-23
238710,01W,150021,2011-03-21,2021-02-04
238716,01W,150021,2011-03-21,2014-06-12
238719,01W,150021,2005-01-03,2006-09-15
238721,01W,150021,2011-03-21,2013-01-07
238723,01W,150021,2011-03-21,2021-03-01
238725,01W,150021,2011-03-21,2020-11-16
