month,permno,in_sp500_proxy
2016-01,76712,1
2016-01,82598,1
2016-01,37161,1
2016-01,84656,1
2016-01,88853,1
2016-01,91849,1
2016-01,85246,1
2016-01,65541,1
2016-01,90925,1
2016-01,76709,1
2016-01,69649,1
2016-01,90248,1
2016-01,83597,1
2016-01,60687,1
2016-01,37807,1
2016-01,17743,1
2016-01,81677,1
2016-01,93312,1
2016-01,24053,1
2016-01,14984,1
2016-01,90786,1
2016-01,13379,1
2016-01,11403,1
2016-01,25081,1
2016-01,36003,1
2016-01,13936,1
2016-01,12623,1
2016-01,85208,1
2016-01,91594,1
2016-02,14593,1
2016-02,10107,1
2016-02,11850,1
2016-02,22111,1
2016-02,84788,1
2016-02,13407,1
2016-02,14542,1
2016-02,38703,1
2016-02,18163,1
2016-02,55976,1
2016-02,90319,1
2016-02,65875,1
2016-02,47896,1
2016-02,11308,1
2016-02,66093,1
2016-02,21936,1
2016-02,83443,1
2016-02,12060,1
2016-02,17778,1
2016-02,66181,1
2016-02,14541,1
2016-02,26403,1
2016-02,10104,1
2016-02,13856,1
2016-02,92602,1
2016-02,89525,1
2016-02,59328,1
2016-02,92611,1
2016-02,22752,1
2016-02,76076,1
2016-02,59408,1
2016-02,12490,1
2016-02,13901,1
2016-02,77274,1
2016-02,70519,1
2016-02,92655,1
2016-02,14008,1
2016-02,17005,1
2016-02,43449,1
2016-02,19393,1
2016-02,91233,1
2016-02,15408,1
2016-02,13721,1
2016-02,77702,1
2016-02,19502,1
2016-02,57665,1
2016-02,22592,1
2016-02,50876,1
2016-02,11552,1
2016-02,19561,1
2016-02,77178,1
2016-02,10145,1
2016-02,86946,1
2016-02,66157,1
2016-02,48725,1
2016-02,87447,1
2016-02,21178,1
2016-02,87055,1
2016-02,89006,1
2016-02,86868,1
2016-02,86783,1
2016-02,61399,1
2016-02,18729,1
2016-02,20482,1
2016-02,66800,1
2016-02,20626,1
2016-02,91883,1
2016-02,59176,1
2016-02,15579,1
2016-02,11703,1
2016-02,34833,1
2016-02,77418,1
2016-02,76841,1
2016-02,24205,1
2016-02,62092,1
2016-02,87267,1
2016-02,27959,1
2016-02,10147,1
2016-02,40539,1
2016-02,25785,1
2016-02,69032,1
2016-02,49154,1
2016-02,17750,1
2016-02,77668,1
2016-02,15488,1
2016-02,12369,1
2016-02,90215,1
2016-02,17830,1
2016-02,18411,1
2016-02,75510,1
2016-02,12052,1
2016-02,13356,1
2016-02,13928,1
2016-02,64936,1
2016-02,49680,1
2016-02,60442,1
2016-02,12558,1
2016-02,89393,1
2016-02,88668,1
2016-02,76614,1
2016-02,18542,1
2016-02,16678,1
2016-02,87842,1
2016-02,44644,1
2016-02,90505,1
2016-02,49656,1
2016-02,88845,1
2016-02,60628,1
2016-02,91926,1
2016-02,73139,1
2016-02,24942,1
2016-02,64186,1
2016-02,75825,1
2016-02,81061,1
2016-02,17144,1
2016-02,24766,1
2016-02,86158,1
2016-02,81055,1
2016-02,56573,1
2016-02,89179,1
2016-02,75186,1
2016-02,83111,1
2016-02,59459,1
2016-02,22103,1
2016-02,89626,1
2016-02,90441,1
2016-02,39642,1
2016-02,70578,1
2016-02,24109,1
2016-02,91937,1
2016-02,83435,1
2016-02,45751,1
2016-02,89258,1
2016-02,77768,1
2016-02,90993,1
2016-02,85269,1
2016-02,86356,1
2016-02,13688,1
2016-02,23819,1
2016-02,12622,1
2016-02,21371,1
2016-02,58683,1
2016-02,48653,1
2016-02,15401,1
2016-02,43553,1
2016-02,22509,1
2016-02,28222,1
2016-02,88031,1
2016-02,93436,1
2016-02,19350,1
2016-02,79103,1
2016-02,71563,1
2016-02,57904,1
2016-02,36468,1
2016-02,52038,1
2016-02,11955,1
2016-02,69796,1
2016-02,78975,1
2016-02,21020,1
2016-02,26825,1
2016-02,86136,1
2016-02,79323,1
2016-02,17478,1
2016-02,42534,1
2016-02,22517,1
2016-02,76605,1
2016-02,79678,1
2016-02,62148,1
2016-02,77605,1
2016-02,14776,1
2016-02,32870,1
2016-02,15720,1
2016-02,91556,1
2016-02,72726,1
2016-02,64311,1
2016-02,90442,1
2016-02,27887,1
2016-02,23712,1
2016-02,93096,1
2016-02,88446,1
2016-02,14702,1
2016-02,10696,1
2016-02,37584,1
2016-02,88352,1
2016-02,76744,1
2016-02,10516,1
2016-02,85348,1
2016-02,91103,1
2016-02,11404,1
2016-02,21776,1
2016-02,13788,1
2016-02,76226,1
2016-02,22293,1
2016-02,82642,1
2016-02,12308,1
2016-02,23931,1
2016-02,75828,1
2016-02,75241,1
2016-02,91650,1
2016-02,70332,1
2016-02,92121,1
2016-02,25320,1
2016-02,77730,1
