gvkey,gsector,ggroup,gind,gsubind
002038,,,,
002039,20,2010,201060,20106010
002040,,,,
002041,,,,
002042,40,4020,402010,40201010
002043,25,2520,252030,25203010
002044,35,3510,351010,35101010
002045,20,2010,201060,20106020
002046,,,,
002047,,,,
002048,20,2010,201010,20101010
002049,20,2010,201060,20106020
002050,,,,
002051,40,4010,401010,40101010
002052,10,1010,101020,10102020
002053,45,4520,452040,45204010
002054,10,1010,101020,10102020
002055,15,1510,151040,15104030
002056,,,,
002057,30,3030,303010,30301010
002058,45,4520,452030,45203010
002059,25,2540,254010,25401030
002060,45,4510,451020,45102010
002061,25,2520,252030,25203020
002062,20,2010,201010,20101010
002063,,,,
002064,,,,
002065,20,2010,201060,20106020
002066,,,,
002067,10,1010,101020,10102020
002068,,,,
002069,,,,
002070,35,3510,351010,35101020
002071,,,,
002072,35,3510,351020,35102020
002073,10,1010,101020,10102020
002074,,,,
002075,,,,
002076,10,1010,101020,10102020
002077,,,,
002078,20,2020,202010,20201010
002079,,,,
002080,25,2520,252010,25201020
002081,,,,
002082,,,,
002083,25,2550,255010,25501010
002084,15,1510,151040,15104020
002085,35,3510,351010,35101020
002086,35,3510,351010,35101010
002087,40,4040,404010,40401020
002088,55,5510,551020,55102010
002089,40,4010,401010,40101010
002090,,,,
002091,25,2520,252030,25203010
002092,10,1010,101020,10102020
002093,10,1010,101020,10102020
002094,40,4040,404010,40401020
002095,,,,
002096,,,,
002097,20,2020,202010,20201030
002098,25,2520,252010,25201030
002099,,,,
002100,10,1010,101020,10102020
002101,20,2010,201070,20107010
002102,30,3020,302020,30202030
002103,,,,
002104,,,,
002105,,,,
002106,,,,
002107,,,,
002108,,,,
002109,20,2020,202010,20201060
002110,20,2010,201060,20106010
002111,35,3510,351010,35101010
002112,45,4520,452020,45202020
002113,25,2520,252030,25203010
002114,,,,
002115,,,,
002116,45,4520,452020,45202020
002117,,,,
002118,,,,
002119,30,3010,301010,30101010
002120,,,,
002121,,,,
002122,15,1510,151010,15101030
002123,,,,
002124,45,4520,452030,45203015
002125,,,,
002126,,,,
002127,10,1010,101020,10102020
002128,10,1010,101020,10102020
002129,,,,
002130,25,2520,252030,25203030
002131,,,,
002132,25,2550,255030,25503020
002133,,,,
002134,,,,
002135,45,4520,452040,45204010
002136,50,5010,501010,50101020
002137,50,5010,501010,50101020
002138,45,4510,451020,45102010
002139,,,,
002140,10,1010,101010,10101020
002141,50,5010,501010,50101020
002142,50,5010,501010,50101020
002143,,,,
002144,,,,
002145,50,5010,501010,50101020
002146,50,5010,501010,50101020
002147,10,1010,101020,10102020
002148,,,,
002149,15,1510,151040,15104030
002150,25,2540,254010,25401020
002151,,,,
002152,,,,
002153,35,3510,351020,35102010
002154,15,1510,151030,15103020
002155,40,4040,404010,40401020
002156,25,2520,252010,25201020
002157,,,,
002158,35,3510,351020,35102010
002159,40,4020,402010,40201010
002160,,,,
002161,10,1010,101020,10102020
002162,15,1510,151040,15104020
002163,25,2530,253010,25301040
002164,10,1010,101020,10102020
002165,,,,
002166,,,,
002167,25,2550,255010,25501010
002168,,,,
